Packet,Packet 10.docx
Team A,Aminal Farm
Team B,Elite Ball Knowers
Final Score,Aminal Farm 190 - 260 Elite Ball Knowers
Winner,Elite Ball Knowers
Exported,2026-08-23T23:45:07.564Z

Team,Score
Aminal Farm,190
Elite Ball Knowers,260

Player,Team,Points,Played
Alex Boettcher,Aminal Farm,90,1
Isa Zeng,Aminal Farm,40,1
Nikhil Krishna,Aminal Farm,20,1
Guru Nathan,Aminal Farm,40,1
Amelia Wu,Elite Ball Knowers,30,1
Eva Li,Elite Ball Knowers,30,1
Jolie Ye,Elite Ball Knowers,0,0
Eva Huang,Elite Ball Knowers,150,1
Nathaniel Roessler,Elite Ball Knowers,50,1
