Packet,Pocket Dimension v3/Packet 11.docx
Team A,Elite Ball Knowers
Team B,ski be dee
Final Score,Elite Ball Knowers 190 - 270 ski be dee
Winner,ski be dee
Exported,2026-08-24T00:21:35.213Z

Team,Score
Elite Ball Knowers,190
ski be dee,270

Player,Team,Points,Played
Eva Huang,Elite Ball Knowers,50,1
Eva Li,Elite Ball Knowers,40,1
Nathaniel Roessler,Elite Ball Knowers,60,1
Amelia Wu,Elite Ball Knowers,40,1
Jerry Yi,ski be dee,70,1
Matías Lazarte,ski be dee,40,1
Gabriela Ang,ski be dee,140,1
Nathan Starck,ski be dee,20,1
