Packet,Packet 6.docx
Team A,dome-gal4 > uas-jupitergfp
Team B,Consensus 250 Grand Prix
Final Score,dome-gal4 > uas-jupitergfp 380 - 335 Consensus 250 Grand Prix
Winner,dome-gal4 > uas-jupitergfp
Exported,2026-08-23T21:11:06.282Z

Team,Score
dome-gal4 > uas-jupitergfp,380
Consensus 250 Grand Prix,335

Player,Team,Points,Played
Joyce Xi,dome-gal4 > uas-jupitergfp,60,1
Alyssa Parker,dome-gal4 > uas-jupitergfp,60,1
Brendan Liaw,dome-gal4 > uas-jupitergfp,120,1
Ali Hasan,dome-gal4 > uas-jupitergfp,140,1
Henry Rutherford,Consensus 250 Grand Prix,140,1
Joyann Hua,Consensus 250 Grand Prix,145,1
Alan Zhang,Consensus 250 Grand Prix,40,1
Caryn Chen,Consensus 250 Grand Prix,10,1
