Packet,Packet 5.docx
Team A,"Rangers Q.B.C. be like ""For 10 points and the IRA"""
Team B,"From the Delaware River to the sea, Central Jersey will be free"
Final Score,"Rangers Q.B.C. be like ""For 10 points and the IRA"" 180 - 535 From the Delaware River to the sea, Central Jersey will be free"
Winner,"From the Delaware River to the sea, Central Jersey will be free"
Exported,2026-08-22T16:27:03.348Z

Team,Score
"Rangers Q.B.C. be like ""For 10 points and the IRA""",180
"From the Delaware River to the sea, Central Jersey will be free",535

Player,Team,Points
John Haslun,"Rangers Q.B.C. be like ""For 10 points and the IRA""",180
Paul Cantave,"From the Delaware River to the sea, Central Jersey will be free",70
Nick Pruitt,"From the Delaware River to the sea, Central Jersey will be free",70
Brian Lu,"From the Delaware River to the sea, Central Jersey will be free",175
Aum Mundhe,"From the Delaware River to the sea, Central Jersey will be free",220
