Packet,Packet 5.docx
Team A,Spencer Jones fans
Team B,protobowling for soup
Final Score,Spencer Jones fans 545 - 270 protobowling for soup
Winner,Spencer Jones fans
Exported,2026-08-22T16:28:43.163Z

Team,Score
Spencer Jones fans,545
protobowling for soup,270

Player,Team,Points
Ryan Rosenberg,Spencer Jones fans,230
Tejas Raje,Spencer Jones fans,210
Noah Sheidlower,Spencer Jones fans,30
Zachary Joseph,Spencer Jones fans,75
Arthur Ramsay,protobowling for soup,60
Michael Borecki,protobowling for soup,140
Michael Wuest,protobowling for soup,70
Bryana Snyder,protobowling for soup,0
