Packet,Packet 1.docx
Team A,protobowling for soup
Team B,"From the Delaware River to the sea, Central Jersey will be free"
Final Score,"protobowling for soup 195 - 435 From the Delaware River to the sea, Central Jersey will be free"
Winner,"From the Delaware River to the sea, Central Jersey will be free"
Exported,2026-08-22T14:18:19.193Z

Team,Score
protobowling for soup,195
"From the Delaware River to the sea, Central Jersey will be free",435

Player,Team,Points
Michael Borecki,protobowling for soup,105
Arthur Ramsay,protobowling for soup,70
Bryana Snyder,protobowling for soup,0
Michael Wuest,protobowling for soup,20
Aum Mundhe,"From the Delaware River to the sea, Central Jersey will be free",170
Nick Pruitt,"From the Delaware River to the sea, Central Jersey will be free",60
Brian Lu,"From the Delaware River to the sea, Central Jersey will be free",140
Paul Cantave,"From the Delaware River to the sea, Central Jersey will be free",65
