Packet,Packet 3.docx
Team A,protobowling for soup
Team B,"Rangers Q.B.C. be like ""For 10 points and the IRA"""
Final Score,"protobowling for soup 330 - 225 Rangers Q.B.C. be like ""For 10 points and the IRA"""
Winner,protobowling for soup
Exported,2026-08-22T15:24:18.640Z

Team,Score
protobowling for soup,330
"Rangers Q.B.C. be like ""For 10 points and the IRA""",225

Player,Team,Points
Michael Wuest,protobowling for soup,20
Bryana Snyder,protobowling for soup,0
Arthur Ramsay,protobowling for soup,100
Michael Borecki,protobowling for soup,210
John Haslun,"Rangers Q.B.C. be like ""For 10 points and the IRA""",225
