Packet,Packet 9.docx
Team A,protobowling for soup
Team B,the meow of howe street
Final Score,protobowling for soup 275 - 410 the meow of howe street
Winner,the meow of howe street
Exported,2026-08-22T19:43:59.745Z

Team,Score
protobowling for soup,275
the meow of howe street,410

Player,Team,Points
Arthur Ramsay,protobowling for soup,120
Michael Borecki,protobowling for soup,95
Michael Wuest,protobowling for soup,40
Bryana Snyder,protobowling for soup,20
Tosca Zhang,the meow of howe street,110
Jacob Hardin-Bernhardt,the meow of howe street,10
Madinah Asif,the meow of howe street,145
Owen Mimno,the meow of howe street,145
