Packet,Packet 8.docx
Team A,Spencer Jones fans
Team B,the meow of howe street
Final Score,Spencer Jones fans 615 - 285 the meow of howe street
Winner,Spencer Jones fans
Exported,2026-08-22T19:02:12.267Z

Team,Score
Spencer Jones fans,615
the meow of howe street,285

Player,Team,Points
Ryan Rosenberg,Spencer Jones fans,170
Tejas Raje,Spencer Jones fans,365
Noah Sheidlower,Spencer Jones fans,60
Zachary Joseph,Spencer Jones fans,20
Tosca Zhang,the meow of howe street,50
Jacob Hardin-Bernhardt,the meow of howe street,0
Madinah Asif,the meow of howe street,140
Owen Mimno,the meow of howe street,95
