Packet,Packet 6.docx
Team A,Spencer Jones fans
Team B,crusty crustacean asians
Final Score,Spencer Jones fans 440 - 410 crusty crustacean asians
Winner,Spencer Jones fans
Exported,2026-08-22T17:56:47.223Z

Team,Score
Spencer Jones fans,440
crusty crustacean asians,410

Player,Team,Points
Ryan Rosenberg,Spencer Jones fans,110
Tejas Raje,Spencer Jones fans,250
Zachary Joseph,Spencer Jones fans,60
Noah Sheidlower,Spencer Jones fans,20
Hazel Singh,crusty crustacean asians,30
Isaac Mammel,crusty crustacean asians,155
Chauncey Lo,crusty crustacean asians,145
Brandon Weiss,crusty crustacean asians,80
