Packet,Packet 9.docx
Team A,Spencer Jones fans
Team B,"From the Delaware River to the sea, Central Jersey will be free"
Final Score,"Spencer Jones fans 445 - 415 From the Delaware River to the sea, Central Jersey will be free"
Winner,Spencer Jones fans
Exported,2026-08-22T19:33:25.713Z

Team,Score
Spencer Jones fans,445
"From the Delaware River to the sea, Central Jersey will be free",415

Player,Team,Points
Ryan Rosenberg,Spencer Jones fans,190
Tejas Raje,Spencer Jones fans,185
Zachary Joseph,Spencer Jones fans,40
Noah Sheidlower,Spencer Jones fans,30
Nick Pruitt,"From the Delaware River to the sea, Central Jersey will be free",40
Aum Mundhe,"From the Delaware River to the sea, Central Jersey will be free",230
Paul Cantave,"From the Delaware River to the sea, Central Jersey will be free",30
Brian Lu,"From the Delaware River to the sea, Central Jersey will be free",115
