Packet,Packet 1.docx
Team A,Spencer Jones fans
Team B,crusty crustacean asians
Final Score,Spencer Jones fans 420 - 380 crusty crustacean asians
Winner,Spencer Jones fans
Exported,2026-08-22T13:53:46.409Z

Team,Score
Spencer Jones fans,420
crusty crustacean asians,380

Player,Team,Points
Noah Sheidlower,Spencer Jones fans,60
Zachary Joseph,Spencer Jones fans,50
Tejas Raje,Spencer Jones fans,180
Ryan Rosenberg,Spencer Jones fans,130
Brandon Weiss,crusty crustacean asians,70
Isaac Mammel,crusty crustacean asians,160
Chauncey Lo,crusty crustacean asians,100
Hazel Singh,crusty crustacean asians,50
