Packet,Packet 10.docx
Team A,protobowling for soup
Team B,Spencer Jones fans
Final Score,protobowling for soup 240 - 570 Spencer Jones fans
Winner,Spencer Jones fans
Exported,2026-08-22T20:25:14.802Z

Team,Score
protobowling for soup,240
Spencer Jones fans,570

Player,Team,Points
Michael Wuest,protobowling for soup,60
Bryana Snyder,protobowling for soup,10
Arthur Ramsay,protobowling for soup,80
Michael Borecki,protobowling for soup,90
Noah Sheidlower,Spencer Jones fans,60
Zachary Joseph,Spencer Jones fans,60
Tejas Raje,Spencer Jones fans,260
Ryan Rosenberg,Spencer Jones fans,190
