Packet,Packet 7.docx
Team A,protobowling for soup
Team B,crusty crustacean asians
Final Score,protobowling for soup 290 - 450 crusty crustacean asians
Winner,crusty crustacean asians
Exported,2026-08-22T18:35:12.087Z

Team,Score
protobowling for soup,290
crusty crustacean asians,450

Player,Team,Points
Michael Wuest,protobowling for soup,80
Bryana Snyder,protobowling for soup,0
Arthur Ramsay,protobowling for soup,90
Michael Borecki,protobowling for soup,120
Hazel Singh,crusty crustacean asians,40
Isaac Mammel,crusty crustacean asians,180
Chauncey Lo,crusty crustacean asians,160
Brandon Weiss,crusty crustacean asians,70
